"Setting","Dataset","Method","Variable","RMSE","MAE","MASE","AVG_SELECTED_VARIABLES"
"fixed-split","exathlon1","LASSO","X1_jvm_pools_PS.Eden.Space_max_value",3.4388625529454,2.60368465788136,124.8247606009,NA
"fixed-split","exathlon1","LASSO","X1_jvm_pools_PS.Survivor.Space_committed_value",5.00461270744713,2.40186553514007,72.6345009435176,NA
"fixed-split","exathlon1","LASSO","X2_jvm_heap_committed_value",5.84477454009403,4.89340805801614,93.8278303192242,NA
"fixed-split","exathlon1","LASSO","driver_BlockManager_memory_memUsed_MB_value",20.7235684867687,19.9503330290754,55.5212182251949,NA
"fixed-split","exathlon1","LASSO","driver_BlockManager_memory_remainingMem_MB_value",20.8222299520285,20.0525757319183,55.8404475192998,NA
"fixed-split","exathlon1","LASSO","node5_NET_ib0.write.KB.s",9.85374505427116,8.6043962083093,7.1547886362132,NA
"fixed-split","exathlon1","LASSO","node6_CPU031_User.",5.34755828609156,3.85862074325808,4.69276941060385,NA
"fixed-split","exathlon1","LASSO","node6_NETPACKET_em1.write.s",4.51591701760555,3.85853127280492,4.03496443912815,NA
"fixed-split","exathlon1","LASSO","node6_NET_ib0.write.KB.s",6.13397779480924,5.00373130754036,3.71135468032802,NA
"fixed-split","exathlon1","LASSO","node7_NET_ib0.read.KB.s",11.1140991255233,8.94573282557355,6.97555816059318,NA
"fixed-split","exathlon1","LASSO","MEAN",9.27993455175845,8.01728793695175,42.9218192935003,6.9
"fixed-split","exathlon1","ARMAr-LASSO","X1_jvm_pools_PS.Eden.Space_max_value",2.98808237932181,1.65518289924,79.3520860995724,NA
"fixed-split","exathlon1","ARMAr-LASSO","X1_jvm_pools_PS.Survivor.Space_committed_value",5.00461270744713,2.40186553514007,72.6345009435177,NA
"fixed-split","exathlon1","ARMAr-LASSO","X2_jvm_heap_committed_value",5.28632121040051,4.29607984943704,82.3744609833818,NA
"fixed-split","exathlon1","ARMAr-LASSO","driver_BlockManager_memory_memUsed_MB_value",20.6050277811875,19.8773933580639,55.3182291630274,NA
"fixed-split","exathlon1","ARMAr-LASSO","driver_BlockManager_memory_remainingMem_MB_value",20.6004174912437,19.8699586749297,55.3319134375323,NA
"fixed-split","exathlon1","ARMAr-LASSO","node5_NET_ib0.write.KB.s",4.71648730324146,3.60103015543615,2.99435416629172,NA
"fixed-split","exathlon1","ARMAr-LASSO","node6_CPU031_User.",5.36114750745073,3.85571092813449,4.68923055765325,NA
"fixed-split","exathlon1","ARMAr-LASSO","node6_NETPACKET_em1.write.s",4.9755152512344,3.60052969262956,3.7651656147455,NA
"fixed-split","exathlon1","ARMAr-LASSO","node6_NET_ib0.write.KB.s",4.82527420675469,3.38753279942108,2.51259209121606,NA
"fixed-split","exathlon1","ARMAr-LASSO","node7_NET_ib0.read.KB.s",14.5354015645684,11.9709736480686,9.33453128426931,NA
"fixed-split","exathlon1","ARMAr-LASSO","MEAN",8.88982874028502,7.45162575405006,36.8307064341207,5.9
