"Setting","Dataset","Method","Variable","RMSE","MAE","MASE","AVG_SELECTED_VARIABLES"
"fixed-split","exathlon3","TiDE","X2_jvm_heap_committed_value",83.6749501866923,73.9739259825114,1228.1318916231,NA
"fixed-split","exathlon3","TiDE","X2_jvm_heap_usage_value",59.2598242591822,53.0434859982274,99.6970239412725,NA
"fixed-split","exathlon3","TiDE","X2_jvm_pools_PS.Eden.Space_committed_value",16.1503215820178,14.2699489066657,494.756846605504,NA
"fixed-split","exathlon3","TiDE","X2_jvm_pools_PS.Old.Gen_usage_value",12.8429575417558,7.10629037552088,1567.25603684604,NA
"fixed-split","exathlon3","TiDE","driver_BlockManager_memory_memUsed_MB_value",32.8931791499909,25.9482138747748,57.0185220257218,NA
"fixed-split","exathlon3","TiDE","node5_CPU023_User.",52.2612541369401,47.0763288322259,69.0806420700564,NA
"fixed-split","exathlon3","TiDE","node5_NETPACKET_em1.read.s",95.7479505676402,87.7067939435589,123.563872670224,NA
"fixed-split","exathlon3","TiDE","node5_NET_ib0.read.KB.s",48.1176382667014,38.5798859547573,33.7423008189576,NA
"fixed-split","exathlon3","TiDE","node5_NET_ib0.write.KB.s",270.302412309996,246.294743305278,221.873622704051,NA
"fixed-split","exathlon3","TiDE","node6_NET_ib0.read.KB.s",85.9966480433823,75.7038749062266,68.4292510530207,NA
"fixed-split","exathlon3","TiDE","node7_NET_ib0.write.KB.s",59.1762655958784,54.2439741360361,37.983099607775,NA
"fixed-split","exathlon3","TiDE","node8_CPU009_User.",46.4493459923401,40.7481241061934,65.3525038024531,NA
"fixed-split","exathlon3","TiDE","node8_CPU015_User.",23.4603720890032,17.5640537152685,26.2203382056798,NA
"fixed-split","exathlon3","TiDE","node8_NETPACKET_em1.write.s",44.6514293940339,39.1225131008599,39.457966802816,NA
"fixed-split","exathlon3","TiDE","MEAN",66.4988963653967,58.6701540812932,295.183137055477,NA
"fixed-split","exathlon3","Transformer","X2_jvm_heap_committed_value",139.574625664051,124.283106045338,2063.37630586676,NA
"fixed-split","exathlon3","Transformer","X2_jvm_heap_usage_value",2.08029395032096,1.7273185414097,3.24655355386863,NA
"fixed-split","exathlon3","Transformer","X2_jvm_pools_PS.Eden.Space_committed_value",7.8079838771898,5.46483180990693,189.472504154239,NA
"fixed-split","exathlon3","Transformer","X2_jvm_pools_PS.Old.Gen_usage_value",34.4653009654384,28.1003938740172,6197.39830622624,NA
"fixed-split","exathlon3","Transformer","driver_BlockManager_memory_memUsed_MB_value",167.383612426461,152.314645999136,334.695715075191,NA
"fixed-split","exathlon3","Transformer","node5_CPU023_User.",14.8993772320099,13.2996206985028,19.5160999154179,NA
"fixed-split","exathlon3","Transformer","node5_NETPACKET_em1.read.s",52.668580668353,48.2520458802754,67.9788803711713,NA
"fixed-split","exathlon3","Transformer","node5_NET_ib0.read.KB.s",6.98078801987652,5.31554837845416,4.64902443241685,NA
"fixed-split","exathlon3","Transformer","node5_NET_ib0.write.KB.s",167.490525753904,148.022800131129,133.345740421199,NA
"fixed-split","exathlon3","Transformer","node6_NET_ib0.read.KB.s",10.0626689351943,8.27423747484229,7.47913992698048,NA
"fixed-split","exathlon3","Transformer","node7_NET_ib0.write.KB.s",31.821850567086,28.429162793328,19.9068696448489,NA
"fixed-split","exathlon3","Transformer","node8_CPU009_User.",1.19589655452605,0.559354340112164,0.897101582979196,NA
