"Setting","Dataset","Method","Variable","RMSE","MAE","MASE","AVG_SELECTED_VARIABLES"
"fixed-split","exathlon2","LASSO","X1_jvm_pools_PS.Eden.Space_max_value",0.43821736802254,0.295192014484195,9.5559987267281,NA
"fixed-split","exathlon2","LASSO","X1_jvm_pools_PS.Survivor.Space_committed_value",0.75212139993332,0.451079883577388,8.47856537256284,NA
"fixed-split","exathlon2","LASSO","X2_jvm_heap_committed_value",1.1158365251251,1.0465344327777,44.8903110636535,NA
"fixed-split","exathlon2","LASSO","driver_BlockManager_memory_memUsed_MB_value",0.322537995329477,0.279270850876732,7.48237830185466,NA
"fixed-split","exathlon2","LASSO","driver_BlockManager_memory_remainingMem_MB_value",0.322604490126384,0.279720311416022,7.47955961349481,NA
"fixed-split","exathlon2","LASSO","driver_DAGScheduler_stage_waitingStages_value",2.16458806183205,1.45359185635472,8.72519549724202,NA
"fixed-split","exathlon2","LASSO","node5_NET_ib0.write.KB.s",1.12255859872092,0.913947696951323,2.80318726073853,NA
"fixed-split","exathlon2","LASSO","node6_CPU031_User.",4.06895384335238,3.21575014699153,4.78433298310671,NA
"fixed-split","exathlon2","LASSO","node6_NETPACKET_em1.write.s",4.63483431622873,3.50033647443976,3.80047934443999,NA
"fixed-split","exathlon2","LASSO","node6_NET_ib0.write.KB.s",2.16318780615051,1.65487088698956,3.40208356514241,NA
"fixed-split","exathlon2","LASSO","node7_NET_ib0.read.KB.s",2.22563506593971,1.82146878421047,4.12527470248548,NA
"fixed-split","exathlon2","LASSO","MEAN",1.75737049734192,1.35561484900631,9.59339694831355,9.90909090909091
"fixed-split","exathlon2","ARMAr-LASSO","X1_jvm_pools_PS.Eden.Space_max_value",0.435611483197812,0.29400258004095,9.51749418233847,NA
"fixed-split","exathlon2","ARMAr-LASSO","X1_jvm_pools_PS.Survivor.Space_committed_value",0.838236710229549,0.546483437953935,10.2717849374465,NA
"fixed-split","exathlon2","ARMAr-LASSO","X2_jvm_heap_committed_value",0.90156577278502,0.827872569587028,35.5109741312468,NA
"fixed-split","exathlon2","ARMAr-LASSO","driver_BlockManager_memory_memUsed_MB_value",0.32358819772133,0.288993726844815,7.74287894467799,NA
"fixed-split","exathlon2","ARMAr-LASSO","driver_BlockManager_memory_remainingMem_MB_value",0.323671416279508,0.288692214825499,7.71946313018257,NA
"fixed-split","exathlon2","ARMAr-LASSO","driver_DAGScheduler_stage_waitingStages_value",2.19483165009625,1.20642952831408,7.24160185829849,NA
"fixed-split","exathlon2","ARMAr-LASSO","node5_NET_ib0.write.KB.s",0.809089075371081,0.589508173058423,1.808092308051,NA
"fixed-split","exathlon2","ARMAr-LASSO","node6_CPU031_User.",3.02186693771502,2.21180695125066,3.29068505494221,NA
"fixed-split","exathlon2","ARMAr-LASSO","node6_NETPACKET_em1.write.s",3.76146991328388,2.92833628801151,3.17943193673776,NA
"fixed-split","exathlon2","ARMAr-LASSO","node6_NET_ib0.write.KB.s",1.46162009258749,1.08745364658753,2.23558720380883,NA
"fixed-split","exathlon2","ARMAr-LASSO","node7_NET_ib0.read.KB.s",2.38733638193343,1.93082951069435,4.37295560831276,NA
"fixed-split","exathlon2","ARMAr-LASSO","MEAN",1.49626251192731,1.10912805701534,8.44463175418576,11
